Ward,Precinct,Registered Voters at 7am,Voters Registering at Polls,Voters Registering by Absentee,Total Registrations,Voters at Polls,Absentee Voters,Total Ballots Cast,Total Turnout,Percentage Absentee, % Registered to Total (Election Day),Spoiled Ballots
1,1,1878,25,3,28,492,27,519,0.2723,0.052,0.0508,14
1,2,2769,43,1,44,836,56,892,0.3171,0.0628,0.0514,22
1,3,2337,40,0,40,905,19,924,0.3887,0.0206,0.0442,34
1,4,2139,24,5,29,768,26,794,0.3662,0.0327,0.0313,19
1,5,1875,31,0,31,683,31,714,0.3746,0.0434,0.0454,14
1,6,2258,69,0,69,739,20,759,0.3262,0.0264,0.0934,32
1,7,1847,47,0,47,291,8,299,0.1579,0.0268,0.1615,17
1,8,1332,43,0,43,415,5,420,0.3055,0.0119,0.1036,22
1,9,2401,42,0,42,596,25,621,0.2542,0.0403,0.0705,15
2,1,2820,62,1,63,1011,39,1050,0.3642,0.0371,0.0613,42
2,2,1377,39,5,44,679,37,716,0.5039,0.0517,0.0574,28
2,3,1763,44,4,48,324,18,342,0.1888,0.0526,0.1358,19
2,4,1582,53,0,53,117,3,120,0.0734,0.025,0.453,3
2,5,1994,48,2,50,495,26,521,0.2549,0.0499,0.097,26
2,6,1120,35,1,36,433,19,452,0.391,0.042,0.0808,22
2,7,1013,39,0,39,138,7,145,0.1378,0.0483,0.2826,4
2,8,2543,49,1,50,1206,36,1242,0.479,0.029,0.0406,30
2,9,1162,37,2,39,351,16,367,0.3056,0.0436,0.1054,15
2,10,2822,87,0,87,196,5,201,0.0691,0.0249,0.4439,7
3,1,2305,52,0,52,165,1,166,0.0704,0.006,0.3152,11
3,2,1945,84,2,86,401,19,420,0.2068,0.0452,0.2095,9
3,3,2590,67,4,71,893,101,994,0.3735,0.1016,0.075,36
3,4,1840,64,1,65,640,35,675,0.3543,0.0519,0.1,28
3,5,1632,62,11,73,626,75,701,0.4111,0.107,0.099,24
3,6,2724,90,12,102,927,71,998,0.3531,0.0711,0.0971,48
3,7,2783,108,4,112,861,35,896,0.3095,0.0391,0.1254,30
3,8,1925,50,2,52,720,52,772,0.3905,0.0674,0.0694,57
3,9,1620,46,4,50,545,39,584,0.3497,0.0668,0.0844,17
4,1,1698,14,1,15,382,11,393,0.2294,0.028,0.0366,26
4,2,2584,17,8,25,481,39,520,0.1993,0.075,0.0353,31
4,3,1487,11,1,12,210,10,220,0.1468,0.0455,0.0524,11
4,4,2474,28,0,28,702,22,724,0.2894,0.0304,0.0399,18
4,5,2777,32,1,33,556,13,569,0.2025,0.0228,0.0576,22
4,6,1969,21,1,22,407,11,418,0.2099,0.0263,0.0516,19
4,7,1735,27,0,27,604,13,617,0.3502,0.0211,0.0447,21
4,8,2175,25,0,25,468,11,479,0.2177,0.023,0.0534,31
5,1,2102,36,3,39,533,17,550,0.2569,0.0309,0.0675,42
5,2,2225,53,10,63,447,42,489,0.2137,0.0859,0.1186,35
5,3,1624,32,2,34,347,15,362,0.2183,0.0414,0.0922,36
5,4,1397,14,1,15,398,14,412,0.2918,0.034,0.0352,38
5,5,1594,37,3,40,494,22,516,0.3158,0.0426,0.0749,52
5,6C,2164,60,13,73,460,44,504,0.2253,0.0873,0.1304,31
5,7,1849,39,6,45,323,32,355,0.1874,0.0901,0.1207,45
5,8,2058,64,2,66,417,16,433,0.2039,0.037,0.1535,41
6,1,718,32,9,41,314,50,364,0.4796,0.1374,0.1019,22
6,2,2014,107,41,148,666,200,866,0.4006,0.2309,0.1607,42
6,3,2572,161,168,329,584,662,1246,0.4295,0.5313,0.2757,41
6,4,2384,61,42,103,334,226,560,0.2252,0.4036,0.1826,41
6,5,1266,46,57,103,256,237,493,0.3601,0.4807,0.1797,21
6,6,1317,53,19,72,265,71,336,0.2419,0.2113,0.2,17
6,7,843,24,18,42,200,104,304,0.3435,0.3421,0.12,46
6,8,1233,77,10,87,386,49,435,0.3295,0.1126,0.1995,38
6,9,1679,62,10,72,383,64,447,0.2553,0.1432,0.1619,19
7,1C,1000,28,0,28,487,18,505,0.4912,0.0356,0.0575,15
7,2D,1569,23,0,23,785,37,822,0.5163,0.045,0.0293,40
7,3,2361,79,3,82,877,57,934,0.3823,0.061,0.0901,39
7,4D,2137,39,4,43,783,69,852,0.3908,0.081,0.0498,38
7,5,2081,55,1,56,510,25,535,0.2504,0.0467,0.1078,18
7,6,2555,50,4,54,352,27,379,0.1453,0.0712,0.142,19
7,7,1099,13,0,13,504,19,523,0.4703,0.0363,0.0258,22
7,8,3221,70,0,70,885,78,963,0.2926,0.081,0.0791,34
7,9,2403,61,4,65,852,45,897,0.3635,0.0502,0.0716,41
7,10,752,38,1,39,177,7,184,0.2326,0.038,0.2147,8
8,1,1301,39,10,49,357,47,404,0.2993,0.1163,0.1092,47
8,2,2336,86,3,89,667,29,696,0.287,0.0417,0.1289,26
8,3,1453,41,4,45,321,11,332,0.2216,0.0331,0.1277,17
8,4,1538,26,0,26,463,15,478,0.3056,0.0314,0.0562,26
8,5,2428,37,1,38,854,30,884,0.3585,0.0339,0.0433,31
8,6,2287,84,2,86,925,23,948,0.3995,0.0243,0.0908,40
8,7,2808,72,2,74,1225,30,1255,0.4355,0.0239,0.0588,40
8,8,2708,52,4,56,1040,25,1065,0.3853,0.0235,0.05,39
9,1,2272,98,9,107,690,45,735,0.309,0.0612,0.142,27
9,2,2471,117,1,118,1092,40,1132,0.4372,0.0353,0.1071,48
9,3,1817,82,5,87,457,30,487,0.2558,0.0616,0.1794,57
9,4,1389,48,6,54,332,20,352,0.2439,0.0568,0.1446,20
9,5,607,27,1,28,195,4,199,0.3134,0.0201,0.1385,3
9,6,2153,73,0,73,784,20,804,0.3612,0.0249,0.0931,35
9,7,1177,45,2,47,539,8,547,0.4469,0.0146,0.0835,28
9,8,252,6,0,6,51,3,54,0.2093,0.0556,0.1176,10
10,1,1990,91,1,92,636,23,659,0.3165,0.0349,0.1431,23
10,2,2199,101,1,102,555,25,580,0.2521,0.0431,0.182,24
10,3A,1752,63,0,63,703,27,730,0.4022,0.037,0.0896,23
10,4,1820,68,2,70,555,32,587,0.3106,0.0545,0.1225,14
10,5A,1535,52,18,70,667,75,742,0.4623,0.1011,0.078,27
10,6,2255,77,0,77,716,18,734,0.3148,0.0245,0.1075,24
10,7,2965,155,3,158,832,40,872,0.2792,0.0459,0.1863,33
10,8,1804,98,16,114,513,16,529,0.2758,0.0302,0.191,25
10,9,2296,81,13,94,459,41,500,0.2092,0.082,0.1765,16
11,1,1610,31,3,34,793,24,817,0.497,0.0294,0.0391,26
11,2,2280,42,14,56,910,116,1026,0.4392,0.1131,0.0462,23
11,3,2187,43,0,43,556,16,572,0.2565,0.028,0.0773,27
11,4,2575,42,28,70,1160,28,1188,0.4491,0.0236,0.0362,43
11,5,1391,36,0,36,644,23,667,0.4674,0.0345,0.0559,19
11,6,2395,41,1,42,1008,31,1039,0.4263,0.0298,0.0407,31
11,7,2196,29,1,30,838,19,857,0.385,0.0222,0.0346,20
11,8,2117,23,0,23,662,21,683,0.3192,0.0307,0.0347,23
11,9,1342,14,1,15,313,7,320,0.2358,0.0219,0.0447,18
11,10,1627,29,2,31,610,21,631,0.3806,0.0333,0.0475,26
12,1,2505,47,2,49,1030,24,1054,0.4127,0.0228,0.0456,39
12,2,2170,43,2,45,928,22,950,0.4289,0.0232,0.0463,23
12,3,2641,43,0,43,1060,34,1094,0.4076,0.0311,0.0406,37
12,4,1239,15,0,15,519,11,530,0.4226,0.0208,0.0289,22
12,5,2836,56,2,58,1225,43,1268,0.4381,0.0339,0.0457,37
12,6,2958,65,1,66,1130,34,1164,0.3849,0.0292,0.0575,46
12,7,155,3,13,16,15,37,52,0.3041,0.7115,0.2,3
12,8,3593,80,13,93,1397,69,1466,0.3977,0.0471,0.0573,41
12,9,1686,40,1,41,591,28,619,0.3584,0.0452,0.0677,19
12,10,1877,21,1,22,533,12,545,0.287,0.022,0.0394,18
13,1,1979,31,0,31,553,37,590,0.2935,0.0627,0.0561,23
13,2,2427,34,0,34,1197,66,1263,0.5132,0.0523,0.0284,49
13,3,2550,57,3,60,1154,42,1196,0.4582,0.0351,0.0494,46
13,4,2727,61,2,63,1271,62,1333,0.4778,0.0465,0.048,48
13,5,2660,43,3,46,1357,65,1422,0.5255,0.0457,0.0317,66
13,6,3130,61,0,61,1607,73,1680,0.5265,0.0435,0.038,56
13,7,2713,39,3,42,1348,34,1382,0.5016,0.0246,0.0289,50
13,8,2025,26,0,26,870,19,889,0.4334,0.0214,0.0299,29
13,9,2635,43,0,43,956,31,987,0.3686,0.0314,0.045,42